repository_name,language
app-store-server-library-java,Java
app-store-server-library-node,TypeScript
app-store-server-library-python,Python
app-store-server-library-swift,Swift
apple-llvm-infrastructure-tools,C++
apple_rules_lint,Starlark
ARKitScenes,Python
AudioUnit-Examples,Swift
AudioUnitSDK,C++
axlearn,Python
batch-processing-gateway,Java
ccs-caldavclientlibrary,HTML
ccs-caldavtester,Python
ccs-calendarserver,Python
ccs-pycalendar,Python
ccs-pykerberos,C
ccs-pyopendirectory,C++
ccs-pyosxframeworks,Python
ccs-pysecuretransport,Python
ccs-twistedextensions,Python
coremltools,Python
corenet,Jupyter Notebook
cups,C
darwin-libplatform,C
darwin-libpthread,C
darwin-xnu,C
device-management,
dmel-demo,HTML
dnikit,Python
eidas,Go
app-store-server-library-java,Java
app-store-server-library-node,TypeScript
app-store-server-library-python,Python
app-store-server-library-swift,Swift
apple-llvm-infrastructure-tools,C++
apple_rules_lint,Starlark
ARKitScenes,Python
AudioUnit-Examples,Swift
AudioUnitSDK,C++
axlearn,Python
batch-processing-gateway,Java
ccs-caldavclientlibrary,HTML
ccs-caldavtester,Python
ccs-calendarserver,Python
ccs-pycalendar,Python
ccs-pykerberos,C
ccs-pyopendirectory,C++
ccs-pyosxframeworks,Python
ccs-pysecuretransport,Python
ccs-twistedextensions,Python
coremltools,Python
corenet,Jupyter Notebook
cups,C
darwin-libplatform,C
darwin-libpthread,C
darwin-xnu,C
device-management,
dmel-demo,HTML
dnikit,Python
eidas,Go
app-store-server-library-java,Java
app-store-server-library-node,TypeScript
app-store-server-library-python,Python
app-store-server-library-swift,Swift
apple-llvm-infrastructure-tools,C++
apple_rules_lint,Starlark
ARKitScenes,Python
AudioUnit-Examples,Swift
AudioUnitSDK,C++
axlearn,Python
batch-processing-gateway,Java
ccs-caldavclientlibrary,HTML
ccs-caldavtester,Python
ccs-calendarserver,Python
ccs-pycalendar,Python
ccs-pykerberos,C
ccs-pyopendirectory,C++
ccs-pyosxframeworks,Python
ccs-pysecuretransport,Python
ccs-twistedextensions,Python
coremltools,Python
corenet,Jupyter Notebook
cups,C
darwin-libplatform,C
darwin-libpthread,C
darwin-xnu,C
device-management,
dmel-demo,HTML
dnikit,Python
eidas,Go
app-store-server-library-java,Java
app-store-server-library-node,TypeScript
app-store-server-library-python,Python
app-store-server-library-swift,Swift
apple-llvm-infrastructure-tools,C++
apple_rules_lint,Starlark
ARKitScenes,Python
AudioUnit-Examples,Swift
AudioUnitSDK,C++
axlearn,Python
batch-processing-gateway,Java
ccs-caldavclientlibrary,HTML
ccs-caldavtester,Python
ccs-calendarserver,Python
ccs-pycalendar,Python
ccs-pykerberos,C
ccs-pyopendirectory,C++
ccs-pyosxframeworks,Python
ccs-pysecuretransport,Python
ccs-twistedextensions,Python
coremltools,Python
corenet,Jupyter Notebook
cups,C
darwin-libplatform,C
darwin-libpthread,C
darwin-xnu,C
device-management,
dmel-demo,HTML
dnikit,Python
eidas,Go
app-store-server-library-java,Java
app-store-server-library-node,TypeScript
app-store-server-library-python,Python
app-store-server-library-swift,Swift
apple-llvm-infrastructure-tools,C++
apple_rules_lint,Starlark
ARKitScenes,Python
AudioUnit-Examples,Swift
AudioUnitSDK,C++
axlearn,Python
batch-processing-gateway,Java
ccs-caldavclientlibrary,HTML
ccs-caldavtester,Python
ccs-calendarserver,Python
ccs-pycalendar,Python
ccs-pykerberos,C
ccs-pyopendirectory,C++
ccs-pyosxframeworks,Python
ccs-pysecuretransport,Python
ccs-twistedextensions,Python
coremltools,Python
corenet,Jupyter Notebook
cups,C
darwin-libplatform,C
darwin-libpthread,C
darwin-xnu,C
device-management,
dmel-demo,HTML
dnikit,Python
eidas,Go
app-store-server-library-java,Java
app-store-server-library-node,TypeScript
app-store-server-library-python,Python
app-store-server-library-swift,Swift
apple-llvm-infrastructure-tools,C++
apple_rules_lint,Starlark
ARKitScenes,Python
AudioUnit-Examples,Swift
AudioUnitSDK,C++
axlearn,Python
batch-processing-gateway,Java
ccs-caldavclientlibrary,HTML
ccs-caldavtester,Python
ccs-calendarserver,Python
ccs-pycalendar,Python
ccs-pykerberos,C
ccs-pyopendirectory,C++
ccs-pyosxframeworks,Python
ccs-pysecuretransport,Python
ccs-twistedextensions,Python
coremltools,Python
corenet,Jupyter Notebook
cups,C
darwin-libplatform,C
darwin-libpthread,C
darwin-xnu,C
device-management,
dmel-demo,HTML
dnikit,Python
eidas,Go
app-store-server-library-java,Java
app-store-server-library-node,TypeScript
app-store-server-library-python,Python
app-store-server-library-swift,Swift
apple-llvm-infrastructure-tools,C++
apple_rules_lint,Starlark
ARKitScenes,Python
AudioUnit-Examples,Swift
AudioUnitSDK,C++
axlearn,Python
batch-processing-gateway,Java
ccs-caldavclientlibrary,HTML
ccs-caldavtester,Python
ccs-calendarserver,Python
ccs-pycalendar,Python
ccs-pykerberos,C
ccs-pyopendirectory,C++
ccs-pyosxframeworks,Python
ccs-pysecuretransport,Python
ccs-twistedextensions,Python
coremltools,Python
corenet,Jupyter Notebook
cups,C
darwin-libplatform,C
darwin-libpthread,C
darwin-xnu,C
device-management,
dmel-demo,HTML
dnikit,Python
eidas,Go
app-store-server-library-java,Java
app-store-server-library-node,TypeScript
app-store-server-library-python,Python
app-store-server-library-swift,Swift
apple-llvm-infrastructure-tools,C++
apple_rules_lint,Starlark
ARKitScenes,Python
AudioUnit-Examples,Swift
AudioUnitSDK,C++
axlearn,Python
batch-processing-gateway,Java
ccs-caldavclientlibrary,HTML
ccs-caldavtester,Python
ccs-calendarserver,Python
ccs-pycalendar,Python
ccs-pykerberos,C
ccs-pyopendirectory,C++
ccs-pyosxframeworks,Python
ccs-pysecuretransport,Python
ccs-twistedextensions,Python
coremltools,Python
corenet,Jupyter Notebook
cups,C
darwin-libplatform,C
darwin-libpthread,C
darwin-xnu,C
device-management,
dmel-demo,HTML
dnikit,Python
eidas,Go
app-store-server-library-java,Java
app-store-server-library-node,TypeScript
app-store-server-library-python,Python
app-store-server-library-swift,Swift
apple-llvm-infrastructure-tools,C++
apple_rules_lint,Starlark
ARKitScenes,Python
AudioUnit-Examples,Swift
AudioUnitSDK,C++
axlearn,Python
batch-processing-gateway,Java
ccs-caldavclientlibrary,HTML
ccs-caldavtester,Python
ccs-calendarserver,Python
ccs-pycalendar,Python
ccs-pykerberos,C
ccs-pyopendirectory,C++
ccs-pyosxframeworks,Python
ccs-pysecuretransport,Python
ccs-twistedextensions,Python
coremltools,Python
corenet,Jupyter Notebook
cups,C
darwin-libplatform,C
darwin-libpthread,C
darwin-xnu,C
device-management,
dmel-demo,HTML
dnikit,Python
eidas,Go
app-store-server-library-java,Java
app-store-server-library-node,TypeScript
app-store-server-library-python,Python
app-store-server-library-swift,Swift
apple-llvm-infrastructure-tools,C++
apple_rules_lint,Starlark
ARKitScenes,Python
AudioUnit-Examples,Swift
AudioUnitSDK,C++
axlearn,Python
batch-processing-gateway,Java
ccs-caldavclientlibrary,HTML
ccs-caldavtester,Python
ccs-calendarserver,Python
ccs-pycalendar,Python
ccs-pykerberos,C
ccs-pyopendirectory,C++
ccs-pyosxframeworks,Python
ccs-pysecuretransport,Python
ccs-twistedextensions,Python
coremltools,Python
corenet,Jupyter Notebook
cups,C
darwin-libplatform,C
darwin-libpthread,C
darwin-xnu,C
device-management,
dmel-demo,HTML
dnikit,Python
eidas,Go
app-store-server-library-java,Java
app-store-server-library-node,TypeScript
app-store-server-library-python,Python
app-store-server-library-swift,Swift
apple-llvm-infrastructure-tools,C++
apple_rules_lint,Starlark
ARKitScenes,Python
AudioUnit-Examples,Swift
AudioUnitSDK,C++
axlearn,Python
batch-processing-gateway,Java
ccs-caldavclientlibrary,HTML
ccs-caldavtester,Python
ccs-calendarserver,Python
ccs-pycalendar,Python
ccs-pykerberos,C
ccs-pyopendirectory,C++
ccs-pyosxframeworks,Python
ccs-pysecuretransport,Python
ccs-twistedextensions,Python
coremltools,Python
corenet,Jupyter Notebook
cups,C
darwin-libplatform,C
darwin-libpthread,C
darwin-xnu,C
device-management,
dmel-demo,HTML
dnikit,Python
eidas,Go
